product_id,product_name,category,subcategory,cost_price
P0107,Ultra Vase 139,Home,Decor,4400.84
P0108,DELUXE HOODIE 481,Clothing,Shirts,1589.2
P0109,Smart Masterclass 407,Books,Fiction,2243.4
P0110,Classic Lamp 292,Home,Bedding,4571.49
P0111,Advanced Guide 627,Books,History,374.8
P0112,Pro Masterclass 297,Books,Non-Fiction,1043.6
P0113,Pro Monitor 151,Electronics,Laptops,3537.94
P0114,Deluxe Vase 750,Home,Bedding,3421.81
P0115,Deluxe Coat 281,Clothing,Dresses,2399.18
P0116,Ultra Rug 866,Home,Bedding,497.44
P0117,Pro Speaker 974,Electronics,Headphones,4826.34
P0118,Smart Hoodie 767,Clothing,Pants,149.26
P0119,Ultra Speaker 715,Electronics,Headphones,1157.66
P0120,Classic Vase 972,Home,Bedding,1297.39
P0121,Classic Handbook 107,Books,Science,3328.66
P0122,Premium Rug 800,Home,Lighting,365.99
P0123,Premium Rug 771,Home,Bedding,4467.25
P0124,Ultra Cushion 158,Home,Kitchen,4021.7
P0125,Ultra Guide 771,Books,Science,1513.24
P0126,Classic Guide 697,Books,History,2881.61
P0127,Smart Coat 787,Clothing,Dresses,1535.96
P0128,Ultra Hoodie 199,Clothing,Accessories,3717.55
P0129,Elite Sneakers 463,Clothing,Dresses,4363.59
P0130,Advanced Digest 699,Books,Science,4263.51
P0131,Elite Volume 299,Books,Fiction,4344.11
P0132,Premium Edition 155,Books,Technology,796.35
P0133,Classic Coat 246,Clothing,Dresses,3592.56
P0134,Advanced Speaker 420,Electronics,Headphones,73.33
P0135,Ultra Shelf 601,Home,Kitchen,3909.77
P0136,Classic Blazer 513,Clothing,Accessories,2413.13
P0137,Smart Camera 114,Electronics,Smartphones,3796.4
P0138,Pro Sneakers 331,Clothing,Shirts,1754.53
P0139,  Classic Hoodie 271,Clothing,Shirts,1526.1
P0140,Advanced Vase 803,Home,Decor,1746.53
P0141,Smart Masterclass 931,Books,Science,1180.67
P0142,Pro Dress 226,Clothing,Pants,3270.17
P0143,Premium Phone 708,Electronics,Headphones,3326.75
P0144,Elite Tablet 554,Electronics,Smartphones,2759.05
P0145,Smart Guide 408,Books,Non-Fiction,549.85
P0146,Ultra Vase 950,Home,Lighting,2582.34
P0147,Elite Laptop 609,Electronics,Tablets,1038.76
P0148,Smart Curtain 820,Home,Lighting,843.85
P0149,  Deluxe Collection 340,Books,Non-Fiction,4539.06
P0150,Elite Handbook 840,Books,Non-Fiction,4528.66
P0151,Premium Hoodie 575  ,Clothing,Shoes,4377.0
P0152,Advanced Vase 856,Home,Bedding,4263.67
P0153,Ultra Speaker 436,Electronics,Smartphones,2216.69
P0154,Advanced Curtain 287,Home,Furniture,2031.24
P0155,Classic Volume 919,Books,Science,4436.31
P0156,Ultra Shirt 964,Clothing,Shirts,2109.34
P0157,Deluxe Masterclass 725,Books,Technology,1825.06
P0158,Deluxe Monitor 215,Electronics,Laptops,2231.41
P0159,Advanced Phone 821,Electronics,Tablets,2647.85
P0160,Elite Blazer 777,Clothing,Dresses,2435.55
P0161,Pro Guide 758,Books,Non-Fiction,2552.56
P0162,Ultra Handbook 869,Books,History,1242.41
P0163,Smart Vase 512,Home,Furniture,440.21
P0164,Deluxe Handbook 977,Books,Technology,1614.5
P0165,Elite  Edition  522,Books,Fiction,50.84
P0166,Premium Earbuds 770,Electronics,Cameras,4754.26
P0167,Smart Frame 439,Home,Furniture,3117.8
P0168,Deluxe Handbook 199,Books,Science,1147.65
P0169,Premium Curtain 818,Home,Bedding,4489.54
P0170,Classic Handbook 360,Books,Non-Fiction,978.34
P0171,Deluxe Journal 833,Books,Non-Fiction,3797.89
P0172,Elite Monitor 568,Electronics,Cameras,4783.14
P0173,Pro Shirt 666,Clothing,Shoes,4202.14
P0174,Ultra Masterclass 848,Books,Technology,562.59
P0175,Classic Vase 723,Home,Lighting,3823.75
P0176,Advanced Rug 563,Home,Decor,733.99
P0177,Advanced Cushion 305,Home,Lighting,3586.2
P0178,Ultra Curtain 827,Home,Kitchen,1793.58
P0179,Classic Digest 998,Books,Technology,4051.11
P0180,Classic Speaker 154,Electronics,Smartphones,1039.52
P0181,PREMIUM DRESS 959,Clothing,Dresses,1059.8
P0182,Deluxe Laptop 730,Electronics,Tablets,3710.49
P0183,Classic Sneakers 623,Clothing,Accessories,4004.17
P0184,Classic Vase 526,Home,Furniture,4880.32
P0185,Pro Chair 861,Home,Lighting,3121.78
P0186,Advanced Journal 894,Books,Non-Fiction,1007.81
P0187,Elite Masterclass 277,Books,Non-Fiction,640.8
P0188,Premium Watch 233,Electronics,Headphones,4237.77
P0189,Deluxe Speaker 140,Electronics,Tablets,1647.02
P0190,Premium Monitor 908,Electronics,Cameras,1822.52
P0191,Smart  Shelf  633,Home,Lighting,838.88
P0192,Advanced Journal 318,Books,Fiction,1688.78
P0193,Deluxe Chair 217,Home,Kitchen,2256.05
P0194,Advanced Blazer 915,Clothing,Shirts,1960.09
P0195,Advanced Frame 598  ,Home,Furniture,1635.55
P0196,Ultra Phone 741  ,Electronics,Smartphones,4331.51
P0197,Smart Edition 762,Books,Fiction,407.0
P0198,Deluxe Jeans 138,Clothing,Shirts,318.63
P0199,Elite Cushion 364,Home,Lighting,2283.07
P0200,Advanced Guide 498,Books,History,2697.43
