item_id,order_id,product_id,quantity,unit_price,discount_percent
I000053,O00020,P0041,8,5034.07,34.82
I000054,O00020,P0187,3,3412.61,5.51
I000055,O00020,P0075,4,4215.92,30.76
I000056,O00021,P0122,5,943.82,14.9
I000057,O00021,P0088,7,6683.45,6.06
I000058,O00022,P0059,7,9523.22,20.65
I000059,O00022,P0036,6,4481.53,30.81
I000060,O00022,P0110,9,939.3,12.59
I000061,O00022,P0106,3,3993.34,1.48
I000062,O00023,P0148,9,4251.12,35.43
I000063,O00023,P0015,9,7243.36,12.55
I000064,O00024,P0003,10,7032.92,17.85
I000065,O00024,P0072,4,6281.16,24.73
I000066,O00024,P0136,8,8887.98,31.26
I000067,O00025,P0199,1,3960.94,28.76
I000068,O00025,P0051,3,5453.82,8.55
I000069,O00025,P0078,9,5261.23,30.28
I000070,O00025,P0022,-5,5965.79,9.65
I000071,O00026,P0186,2,8431.68,10.39
I000072,O00026,P0109,9,572.56,26.04
I000073,O00026,P0130,2,5767.11,0.21
I000074,O00027,P0061,10,9381.64,26.62
I000075,O00027,P0191,10,3062.1,26.68
I000076,O00027,P0149,10,7172.07,20.79
I000077,O00028,P0027,9,8246.14,14.45
I000078,O00028,P0084,2,4314.35,16.48
I000079,O00029,P0016,7,4814.91,17.85
I000080,O00030,P0174,10,7810.36,34.88
I000081,O00030,P0135,10,4291.88,17.6
I000082,O00030,P0104,8,4227.53,6.51
I000083,O00031,P0125,8,7074.79,34.53
I000084,O00031,P0183,2,4608.78,1.3
I000085,O00032,P0144,2,4145.34,4.83
I000086,O00032,P0095,10,5275.5,4.71
I000087,O00033,P0096,-2,1507.18,23.58
I000088,O00033,P0078,1,3121.12,11.34
I000089,O00033,P0076,3,4939.06,4.89
I000090,O00034,P0018,8,5701.06,36.01
I000091,O00034,P0012,7,7228.33,24.23
I000092,O00034,P0107,3,4663.27,18.0
I000093,O00035,P0039,10,4155.32,9.31
I000094,O00035,P0187,7,553.62,26.82
I000095,O00035,P0084,8,6494.57,34.64
I000096,O00035,P0023,1,7981.97,28.3
I000097,O00036,P0165,9,9556.17,21.67
I000098,O00037,P0146,9,4810.77,35.87
I000099,O00038,P0169,9,287.84,31.47
I000100,O00039,P0181,8,5382.08,12.82
I000101,O00039,P0149,10,8633.55,0.93
I000102,O00040,P0047,6,1001.15,39.19
I000103,O00040,P0107,9,1525.94,10.22
I000104,O00040,P0007,2,9526.43,27.14
I000105,O00040,P0136,1,3320.38,1.09
I000106,O00041,P0077,7,1510.36,35.72
I000107,O00042,P0097,4,6010.35,9.46
I000108,O00042,P0031,9,3911.98,4.6
I000109,O00042,P0014,1,5575.9,2.62
I000110,O00043,P0105,4,284.37,22.16
I000111,O00044,P0064,9,1343.16,22.73
I000112,O00045,P0022,3,9854.56,31.28
I000113,O00045,P0163,9,9617.39,22.21
I000114,O00045,P0129,-4,9615.03,24.83
I000115,O00045,P0053,-4,2805.7,10.04
I000116,O00046,P0090,9,1698.02,21.36
I000117,O00046,P0162,2,4013.52,4.92
I000118,O00046,P0055,3,9988.33,35.13
I000119,O00046,P0150,4,9578.43,12.73
I000120,O00047,P0163,8,6656.54,12.87
I000121,O00047,P0067,4,6035.19,0.63
I000122,O00047,P0193,3,120.27,19.06
I000123,O00048,P0173,3,8963.15,28.13
I000124,O00049,P0138,9,8337.63,26.86
I000125,O00049,P0021,2,8146.53,33.1
I000126,O00049,P0167,6,8407.54,32.47
I000127,O00049,P0020,1,3767.76,7.72
I000128,O00050,P0057,1,6837.49,28.37
I000129,O00051,P0024,5,2289.36,39.2
I000130,O00051,P0158,6,4979.09,28.16
I000131,O00052,P0002,7,2845.74,20.01
I000132,O00052,P0051,3,6632.4,22.63
I000133,O00053,P0017,3,1361.57,37.34
I000134,O00053,P0151,4,7316.1,10.97
I000135,O00054,P0178,9,6838.74,35.32
I000136,O00055,P0110,1,3297.69,33.77
I000137,O00056,P0071,8,5220.84,1.74
I000138,O00056,P0032,4,9192.08,21.3
I000139,O00056,P0175,-2,3413.59,35.2
I000140,O00056,P0133,1,2333.72,27.58
I000141,O00057,P0064,4,3176.98,25.04
I000142,O00058,P0008,8,337.83,31.89
I000143,O00059,P0065,8,3473.94,2.18
I000144,O00059,P0064,6,2443.76,2.92
I000145,O00059,P0028,10,7664.58,25.01
I000146,O00060,P0022,1,3836.21,35.6
I000147,O00061,P0033,1,4474.99,12.06
I000148,O00062,P0017,9,8514.3,16.07
I000149,O00062,P0027,10,2407.81,23.98
I000150,O00062,P0174,-4,4695.67,17.12
I000151,O00062,P0015,10,3462.2,37.5
I000152,O00063,P0117,9,2005.57,4.11
I000153,O00064,P0152,4,1347.22,20.36
I000154,O00065,P0108,10,2507.21,31.88
I000155,O00065,P0124,1,5886.77,20.53
I000156,O00065,P0186,6,8863.7,31.02
I000157,O00066,P0121,10,3751.42,0.32
I000158,O00066,P0080,10,1531.54,9.5
I000159,O00067,P0109,6,2083.68,36.34
I000160,O00068,P0088,4,6978.34,39.28
I000161,O00069,P0149,10,3353.33,4.19
I000162,O00069,P0145,1,9207.54,25.55
I000163,O00069,P0086,4,2210.07,19.23
I000164,O00070,P0190,7,9899.79,14.51
I000165,O00070,P0097,2,5591.45,5.7
I000166,O00070,P0053,8,5898.3,30.62
I000167,O00071,P0008,4,1824.05,35.42
I000168,O00072,P0087,4,312.77,33.72
I000169,O00072,P0142,-2,3851.34,31.5
I000170,O00073,P0087,4,2477.48,32.38
I000171,O00074,P0135,7,747.24,5.78
I000172,O00074,P0160,3,1997.64,15.13
I000173,O00075,P0082,4,7654.52,23.49
I000174,O00075,P0154,9,1570.81,9.89
I000175,O00075,P0110,5,8529.88,38.74
I000176,O00076,P0054,10,5135.28,30.05
I000177,O00076,P0187,9,5237.03,7.16
I000178,O00076,P0021,6,4884.64,38.23
I000179,O00076,P0121,8,4069.37,36.85
I000180,O00077,P0054,4,4575.59,9.38
I000181,O00078,P0079,7,9361.44,14.96
I000182,O00078,P0109,9,7541.07,11.8
I000183,O00079,P0059,8,3430.1,18.05
I000184,O00079,P0150,7,8064.59,12.68
I000185,O00079,P0011,-4,2414.52,25.81
I000186,O00080,P0022,9,873.77,11.06
I000187,O00080,P0076,4,806.35,1.53
I000188,O00080,P0129,4,6783.56,10.0
I000189,O00081,P0049,3,7548.6,29.59
I000190,O00081,P0181,-3,2890.27,13.87
I000191,O00081,P0155,7,8236.43,30.31
I000192,O00082,P0121,9,9519.74,34.62
I000193,O00083,P0059,4,5206.67,31.44
I000194,O00083,P0186,8,4667.87,31.68
I000195,O00084,P0049,7,4554.72,22.34
I000196,O00084,P0110,6,8750.13,12.22
I000197,O00084,P0198,1,6622.6,14.19
I000198,O00085,P0108,7,6936.13,11.99
I000199,O00085,P0109,-1,9229.23,6.15
I000200,O00086,P0146,10,3969.77,15.25
I000201,O00086,P0162,7,3925.7,18.99
I000202,O00086,P0155,6,4570.2,35.79
I000203,O00087,P0044,2,1858.6,33.06
I000204,O00088,P0007,7,2407.09,26.38
I000205,O00088,P0048,2,3749.66,0.44
I000206,O00088,P0051,6,4167.53,6.28
I000207,O00088,P0018,2,4242.29,29.73
I000208,O00089,P0053,8,5793.4,12.41
I000209,O00089,P0034,4,6879.88,11.02
I000210,O00089,P0080,1,4512.74,32.98
I000211,O00089,P0111,10,5305.98,36.41
I000212,O00090,P0118,2,8821.84,18.25
I000213,O00090,P0119,5,8251.95,33.99
I000214,O00090,P0148,7,9009.65,29.33
I000215,O00090,P0011,8,6624.89,27.94
I000216,O00091,P0101,1,8718.34,10.95
I000217,O00092,P0171,4,4171.65,30.47
I000218,O00092,P0018,2,857.68,4.21
I000219,O00092,P0179,6,1731.91,8.29
I000220,O00093,P0119,1,6975.41,29.99
I000221,O00094,P0088,7,2581.0,28.36
I000222,O00094,P0191,3,7511.89,19.39
I000223,O00094,P0103,2,6604.52,28.54
I000224,O00094,P0050,8,8222.22,33.66
I000225,O00095,P0005,2,1329.1,29.66
I000226,O00095,P0156,3,7659.53,27.1
I000227,O00096,P0113,3,441.0,27.0
I000228,O00096,P0092,4,572.78,25.39
I000229,O00097,P0100,5,6022.23,1.95
I000230,O00098,P0197,4,258.78,1.12
I000231,O00098,P0052,1,2002.3,26.76
I000232,O00098,P0064,4,1056.37,33.42
I000233,O00098,P0096,3,535.72,20.5
I000234,O00099,P0083,4,9349.84,15.8
I000235,O00099,P0144,7,2216.42,14.26
I000236,O00099,P0161,-3,218.62,8.51
I000237,O00100,P0017,5,3752.9,2.69
I000238,O00100,P0169,4,7698.7,19.98
I000239,O00101,P0183,9,9230.02,22.77
I000240,O00102,P0025,7,9726.43,27.75
I000241,O00102,P0154,6,7640.99,27.51
I000242,O00102,P0084,8,274.72,36.48
I000243,O00103,P0098,4,7075.83,0.53
I000244,O00103,P0131,1,8978.12,12.35
I000245,O00103,P0164,7,6235.69,2.4
I000246,O00103,P0190,6,2099.92,15.03
I000247,O00104,P0061,10,4492.89,35.09
I000248,O00105,P0072,1,9777.92,25.92
I000249,O00105,P0082,5,2367.2,29.31
I000250,O00106,P0063,1,6683.56,9.93
I000251,O00106,P0053,4,3876.71,12.87
I000252,O00106,P0139,8,739.71,19.67
I000253,O00107,P0014,3,1343.05,6.95
I000254,O00107,P0163,9,9324.95,9.45
I000255,O00108,P0110,8,7244.57,9.8
I000256,O00109,P0156,5,4537.88,25.42
I000257,O00109,P0064,5,4863.59,38.04
I000258,O00110,P0102,8,5102.4,29.4
I000259,O00110,P0097,3,7956.23,0.79
I000260,O00110,P0043,7,924.01,36.26
I000261,O00111,P0153,9,2647.19,18.55
I000262,O00111,P0138,8,5665.21,19.23
I000263,O00111,P0040,6,4745.66,6.19
I000264,O00112,P0002,9,3805.15,16.18
I000265,O00112,P0004,7,9707.88,14.93
I000266,O00113,P0079,7,9925.48,4.98
I000267,O00113,P0165,10,7653.21,38.28
I000268,O00113,P0151,6,4937.36,27.54
I000269,O00113,P0019,1,9272.54,29.43
I000270,O00114,P0123,6,6796.61,27.9
I000271,O00114,P0009,3,4609.16,27.24
I000272,O00115,P0064,-1,6479.53,36.68
I000273,O00115,P0155,7,9744.04,3.21
I000274,O00115,P0149,4,1741.65,17.07
I000275,O00116,P0129,7,7365.94,30.1
I000276,O00116,P0137,2,5768.86,31.9
I000277,O00116,P0169,3,2174.3,29.93
I000278,O00117,P0002,1,7760.06,16.71
I000279,O00117,P0044,7,7357.12,6.83
I000280,O00117,P0126,6,1429.89,19.46
I000281,O00118,P0116,10,1937.82,2.36
I000282,O00119,P0195,5,8728.99,17.63
I000283,O00119,P0050,10,6400.69,3.19
I000284,O00120,P0097,2,3487.3,23.43
I000285,O00121,P0125,1,7542.81,0.29
I000286,O00121,P0173,10,514.41,8.44
I000287,O00121,P0195,1,5248.73,38.48
I000288,O00121,P0026,5,4784.99,13.48
I000289,O00122,P0087,6,9415.81,26.6
I000290,O00122,P0095,7,9755.52,34.92
I000291,O00122,P0175,-4,7279.68,35.52
I000292,O00122,P0088,-1,8703.15,11.18
I000293,O00123,P0095,10,8711.55,20.6
I000294,O00123,P0116,-3,264.64,14.41
I000295,O00124,P0189,6,2412.23,19.38
I000296,O00125,P0090,7,9420.63,19.04
I000297,O00126,P0188,7,2031.26,5.73
I000298,O00127,P0033,8,3083.35,26.92
I000299,O00128,P0044,9,2195.24,30.13
I000300,O00128,P0115,2,9934.28,1.17
I000301,O00128,P0030,6,7686.46,8.82
I000302,O00128,P0124,5,9519.89,26.82
I000303,O00129,P0137,8,6948.67,34.88
I000304,O00129,P0163,10,6046.73,25.76
I000305,O00130,P0184,7,7872.31,38.65
I000306,O00130,P0191,7,2313.15,4.63
I000307,O00130,P0189,2,3468.35,23.69
I000308,O00130,P0186,4,1249.45,14.71
I000309,O00131,P0098,1,5941.59,7.59
I000310,O00131,P0148,7,3264.47,14.6
I000311,O00131,P0189,3,6056.01,8.89
I000312,O00132,P0003,3,3038.55,8.76
I000313,O00132,P0138,8,2905.59,29.88
I000314,O00132,P0118,1,3158.03,39.61
I000315,O00132,P0081,2,8491.93,22.96
I000316,O00133,P0127,7,8121.08,6.11
I000317,O00133,P0075,4,9350.89,9.0
I000318,O00134,P0199,3,7301.22,11.96
I000319,O00135,P0006,7,6811.2,39.61
I000320,O00135,P0141,7,5325.66,11.32
I000321,O00136,P0180,7,3301.84,31.65
I000322,O00136,P0141,1,7124.92,18.3
I000323,O00137,P0148,8,2981.71,5.79
I000324,O00137,P0036,4,2036.99,26.05
I000325,O00138,P0186,3,9828.74,27.18
I000326,O00138,P0148,3,1050.87,38.97
I000327,O00138,P0027,3,1261.73,20.62
I000328,O00139,P0152,7,1276.15,15.87
I000329,O00139,P0112,5,9550.1,26.11
I000330,O00139,P0039,7,9912.52,26.83
I000331,O00140,P0200,8,6538.08,11.01
I000332,O00141,P0095,2,6449.95,36.34
I000333,O00141,P0003,-5,9874.76,19.18
I000334,O00141,P0031,2,1892.86,19.37
I000335,O00141,P0030,7,1339.84,13.01
I000336,O00142,P0104,1,8192.88,31.34
I000337,O00142,P0180,9,5237.12,23.39
I000338,O00143,P0193,4,8986.26,7.23
I000339,O00144,P0002,8,1318.15,5.15
I000340,O00144,P0143,4,969.43,10.27
I000341,O00145,P0022,2,3699.24,21.78
I000342,O00146,P0169,1,5242.49,31.31
I000343,O00146,P0001,9,5813.01,27.8
I000344,O00146,P0064,9,9968.29,24.25
I000345,O00146,P0077,9,1080.19,32.79
I000346,O00147,P0010,3,8343.02,38.3
I000347,O00147,P0049,10,5958.65,11.1
I000348,O00148,P0020,7,1716.86,18.24
I000349,O00148,P0141,5,9407.97,5.73
I000350,O00148,P0066,4,7353.48,39.81
I000351,O00148,P0067,4,5680.06,25.91
I000352,O00149,P0108,6,4392.91,1.04
I000353,O00149,P0040,10,2774.24,21.26
I000354,O00150,P0017,6,7802.9,5.85
I000355,O00150,P0085,4,1069.67,39.18
I000356,O00150,P0164,4,1139.53,37.03
I000357,O00150,P0023,3,8767.57,23.55
I000358,O00151,P0025,10,5560.27,24.3
I000359,O00151,P0136,1,9470.45,15.58
I000360,O00151,P0090,6,6810.34,31.55
I000361,O00151,P0180,9,8511.34,19.07
I000362,O00152,P0067,9,6609.87,5.71
I000363,O00152,P0003,10,623.36,29.02
I000364,O00153,P0182,10,4632.09,17.56
I000365,O00153,P0200,6,5072.07,11.03
I000366,O00153,P0064,7,7212.82,36.95
I000367,O00154,P0079,2,4124.5,12.51
I000368,O00154,P0163,2,859.26,9.6
I000369,O00155,P0043,10,7459.75,22.17
I000370,O00156,P0003,3,5198.61,39.92
I000371,O00156,P0109,9,4114.17,24.65
I000372,O00156,P0174,1,7055.66,29.99
I000373,O00156,P0131,4,6645.62,36.82
I000374,O00157,P0156,8,6777.77,35.28
I000375,O00158,P0045,6,5185.48,38.1
I000376,O00158,P0020,7,1787.79,38.79
I000377,O00159,P0174,2,4882.93,10.59
I000378,O00159,P0064,1,5731.54,8.7
I000379,O00159,P0139,5,9595.44,20.62
I000380,O00160,P0119,10,669.22,0.24
I000381,O00161,P0085,1,7252.09,16.08
I000382,O00161,P0077,1,4971.26,3.39
I000383,O00161,P0091,9,4166.12,36.52
I000384,O00161,P0028,1,6600.67,9.04
I000385,O00162,P0096,3,2767.87,39.57
I000386,O00162,P0077,8,3602.0,17.36
I000387,O00162,P0094,6,7121.27,4.43
I000388,O00162,P0110,5,4006.01,29.76
I000389,O00163,P0042,4,9601.02,39.32
I000390,O00164,P0108,8,8018.22,28.57
I000391,O00165,P0193,7,9243.26,33.72
I000392,O00165,P0196,7,9581.02,31.71
I000393,O00165,P0200,3,5050.01,30.7
I000394,O00166,P0014,6,6011.16,0.32
I000395,O00166,P0174,8,4910.7,30.44
I000396,O00167,P0159,9,2883.27,4.6
I000397,O00167,P0040,5,2548.81,32.82
I000398,O00168,P0122,2,5073.11,7.25
I000399,O00168,P0181,10,1572.39,4.82
I000400,O00169,P0010,-2,1000.26,2.04
I000401,O00169,P0071,7,7031.57,39.2
I000402,O00169,P0050,4,4844.03,20.39
I000403,O00169,P0038,1,2765.54,11.22
I000404,O00170,P0183,6,1899.34,0.02
I000405,O00170,P0108,6,4773.38,36.34
I000406,O00170,P0064,2,2597.4,19.65
I000407,O00171,P0078,1,7727.59,5.21
I000408,O00171,P0029,6,3677.71,31.15
I000409,O00171,P0025,9,2458.7,11.04
I000410,O00172,P0023,10,5906.96,36.49
I000411,O00172,P0028,4,4513.12,3.95
I000412,O00172,P0034,9,3084.62,18.97
I000413,O00172,P0162,4,1621.36,5.11
I000414,O00173,P0141,9,8959.64,17.94
I000415,O00173,P0183,2,770.31,16.76
I000416,O00173,P0065,9,1752.66,10.97
I000417,O00173,P0195,3,9562.45,2.43
I000418,O00174,P0190,8,8715.53,38.86
I000419,O00174,P0102,3,5141.86,22.5
I000420,O00175,P0103,-5,2256.3,27.87
I000421,O00175,P0156,9,7106.76,21.0
I000422,O00175,P0070,5,3034.0,10.74
I000423,O00175,P0053,2,551.56,9.53
I000424,O00176,P0164,3,2849.79,5.32
I000425,O00177,P0165,4,2178.73,4.65
I000426,O00178,P0162,6,7084.07,21.97
I000427,O00178,P0155,3,6153.67,12.99
I000428,O00178,P0095,1,203.04,14.22
I000429,O00179,P0046,9,8693.02,37.56
I000430,O00179,P0066,10,7483.12,15.28
I000431,O00179,P0005,5,6379.62,22.04
I000432,O00180,P0057,10,8596.39,15.82
I000433,O00180,P0084,8,7290.23,14.75
I000434,O00180,P0069,8,1896.98,7.4
I000435,O00180,P0053,3,4956.13,29.18
I000436,O00181,P0006,3,6904.93,7.51
I000437,O00181,P0080,3,2528.01,36.37
I000438,O00181,P0042,7,5315.11,29.07
I000439,O00182,P0155,2,305.09,33.06
I000440,O00183,P0034,4,2749.8,37.54
I000441,O00184,P0003,2,8200.73,34.11
I000442,O00185,P0052,3,5672.23,17.77
I000443,O00186,P0079,8,653.17,27.68
I000444,O00186,P0085,9,8266.76,4.11
I000445,O00187,P0027,-2,337.61,17.09
I000446,O00187,P0131,3,2939.78,36.87
I000447,O00187,P0107,7,7177.03,36.06
I000448,O00188,P0044,5,6195.4,4.73
I000449,O00188,P0029,2,6084.61,7.12
I000450,O00188,P0058,9,1895.52,17.01
I000451,O00188,P0027,5,2941.35,35.02
I000452,O00189,P0128,5,7141.94,3.05
I000453,O00189,P0170,1,9782.69,31.11
I000454,O00189,P0095,3,3966.94,28.85
I000455,O00190,P0018,5,3298.23,5.1
I000456,O00190,P0029,7,4992.64,19.25
I000457,O00190,P0148,7,6402.38,5.53
I000458,O00190,P0110,4,5538.46,21.55
I000459,O00191,P0137,2,4276.22,23.12
I000460,O00191,P0138,4,2428.41,0.11
I000461,O00191,P0059,1,4791.87,5.34
I000462,O00191,P0099,2,3558.54,33.95
I000463,O00192,P0076,3,5559.85,37.25
I000464,O00192,P0118,7,8295.44,2.23
I000465,O00193,P0031,3,360.83,38.6
I000466,O00193,P0179,6,1149.5,23.26
I000467,O00194,P0153,6,2525.95,0.5
I000468,O00194,P0041,7,1906.0,29.74
I000469,O00194,P0008,9,3065.13,16.46
I000470,O00194,P0038,6,6483.99,0.53
I000471,O00195,P0040,1,417.98,30.05
I000472,O00196,P0003,7,8772.17,22.17
I000473,O00196,P0102,5,5068.54,28.37
I000474,O00197,P0041,7,1338.82,8.47
I000475,O00197,P0070,10,3983.68,32.9
I000476,O00197,P0024,9,864.37,27.7
I000477,O00197,P0134,8,6454.72,33.09
I000478,O00198,P0014,7,1173.17,3.11
I000479,O00198,P0096,10,3421.17,9.58
I000480,O00199,P0139,2,208.67,36.39
I000481,O00199,P0028,4,6420.05,1.29
I000482,O00200,P0022,1,7923.23,1.83
I000483,O00200,P0146,6,3155.19,39.22
I000484,O00200,P0145,5,5052.14,12.58
I000485,O00201,P0186,2,8975.46,20.14
I000486,O00201,P0092,9,1586.85,23.49
I000487,O00201,P0034,7,8701.24,1.5
I000488,O00201,P0180,3,4684.75,35.41
I000489,O00202,P0184,4,8094.01,26.17
I000490,O00203,P0129,10,9309.25,13.66
I000491,O00203,P0133,3,3667.13,34.24
I000492,O00204,P0011,7,9970.39,24.28
I000493,O00204,P0183,3,9944.6,3.9
I000494,O00204,P0199,1,8717.53,21.89
I000495,O00204,P0175,2,4602.6,6.79
I000496,O00205,P0042,10,983.37,7.17
I000497,O00205,P0018,8,4785.28,10.24
I000498,O00205,P0072,8,1490.43,4.96
I000499,O00206,P0011,7,9179.69,5.16
I000500,O00206,P0094,6,6283.86,12.55
I000501,O00206,P0074,2,5108.83,10.51
I000502,O00206,P0103,1,6474.28,29.64
I000503,O00207,P0180,1,1142.45,15.03
I000504,O00207,P0144,10,822.49,15.53
I000505,O00208,P0172,8,9011.25,18.59
I000506,O00208,P0024,2,1172.65,38.38
I000507,O00208,P0090,7,2074.76,13.15
I000508,O00208,P0120,6,6083.26,8.51
I000509,O00209,P0030,9,4752.68,25.61
I000510,O00209,P0072,6,9879.33,30.97
I000511,O00209,P0117,1,3678.78,17.2
I000512,O00209,P0010,8,2193.78,0.92
I000513,O00210,P0070,2,2811.66,3.27
I000514,O00210,P0065,8,5295.3,26.79
I000515,O00210,P0163,5,632.05,35.8
I000516,O00210,P0046,7,7556.44,6.58
I000517,O00211,P0108,9,1690.82,27.87
I000518,O00211,P0124,6,5746.14,32.92
I000519,O00211,P0122,9,6011.57,3.11
I000520,O00212,P0083,-4,9344.81,19.98
I000521,O00212,P0171,6,9702.76,16.26
I000522,O00213,P0116,3,6425.27,23.14
I000523,O00214,P0056,4,5506.25,6.64
I000524,O00215,P0056,10,3765.54,14.55
I000525,O00215,P0090,5,5070.64,34.71
I000526,O00215,P0054,8,4614.38,16.42
I000527,O00215,P0049,6,4315.91,38.96
I000528,O00216,P0030,7,5572.26,6.51
I000529,O00216,P0046,7,8466.41,27.54
I000530,O00216,P0118,7,7050.72,37.52
I000531,O00217,P0023,2,262.62,37.3
I000532,O00218,P0128,10,1087.05,17.76
I000533,O00219,P0171,5,2197.52,31.08
I000534,O00220,P0030,6,9148.89,16.52
I000535,O00220,P0051,-3,7843.74,20.3
I000536,O00220,P0121,5,2718.54,33.54
I000537,O00220,P0032,7,141.16,36.36
I000538,O00221,P0004,1,3806.62,32.67
I000539,O00222,P0086,7,9737.55,7.71
I000540,O00222,P0044,7,8033.18,23.11
I000541,O00222,P0147,3,3965.08,29.12
I000542,O00223,P0082,4,8031.6,20.17
I000543,O00223,P0133,10,8446.0,25.09
I000544,O00223,P0041,5,1674.63,12.9
I000545,O00223,P0112,2,4430.47,25.16
I000546,O00224,P0008,9,879.85,15.3
I000547,O00224,P0159,3,6381.19,31.1
I000548,O00225,P0062,4,5400.63,9.81
I000549,O00225,P0168,7,6626.65,11.0
I000550,O00226,P0161,10,1198.22,37.09
I000551,O00226,P0006,2,2896.38,35.78
I000552,O00227,P0020,8,9135.92,8.32
I000553,O00228,P0126,1,4916.52,25.03
I000554,O00229,P0176,7,6372.16,18.04
I000555,O00229,P0108,3,200.39,7.15
I000556,O00230,P0031,6,4890.72,24.56
I000557,O00231,P0041,9,9273.17,7.71
I000558,O00232,P0138,1,7633.51,8.65
I000559,O00233,P0030,6,926.08,27.66
I000560,O00233,P0056,3,4867.59,38.13
I000561,O00233,P0008,6,6554.05,18.68
I000562,O00234,P0112,5,6901.87,35.49
I000563,O00234,P0132,5,1118.66,31.73
I000564,O00234,P0103,10,7961.59,38.15
I000565,O00234,P0050,8,4516.96,23.85
I000566,O00235,P0082,10,2077.24,14.12
I000567,O00235,P0160,2,8905.55,38.32
I000568,O00235,P0028,5,3005.39,33.07
I000569,O00236,P0102,3,4350.93,7.44
I000570,O00236,P0008,4,6603.85,14.88
I000571,O00236,P0030,6,3254.03,0.44
I000572,O00237,P0055,6,5660.24,15.42
I000573,O00237,P0120,10,2252.89,22.44
I000574,O00237,P0146,10,8093.52,26.85
I000575,O00238,P0175,6,591.63,19.76
I000576,O00238,P0194,1,4270.25,4.96
I000577,O00238,P0112,3,5952.59,9.46
I000578,O00238,P0082,1,6472.3,34.24
I000579,O00239,P0119,5,9671.85,1.48
I000580,O00240,P0087,1,1041.69,32.1
I000581,O00241,P0071,6,5608.86,12.53
I000582,O00241,P0082,10,3054.59,39.36
I000583,O00241,P0193,8,9674.81,4.86
I000584,O00242,P0159,4,202.92,4.21
I000585,O00242,P0027,6,7270.11,9.05
I000586,O00242,P0008,2,9032.54,14.76
I000587,O00243,P0177,1,7870.95,4.43
I000588,O00244,P0020,10,3857.61,27.95
I000589,O00244,P0068,3,1287.02,12.77
I000590,O00244,P0085,3,8889.2,38.63
I000591,O00245,P0164,9,5821.06,26.45
I000592,O00245,P0115,5,7335.56,9.03
I000593,O00245,P0172,5,7142.68,14.12
I000594,O00245,P0032,4,7379.16,8.24
I000595,O00246,P0020,8,229.97,8.65
I000596,O00247,P0049,4,7639.87,20.56
I000597,O00247,P0125,6,3187.07,18.16
I000598,O00247,P0027,3,1146.04,5.2
I000599,O00247,P0088,6,4579.08,24.82
I000600,O00248,P0200,4,4288.63,27.45
I000601,O00248,P0103,10,1558.17,35.05
I000602,O00249,P0062,1,1951.59,1.14
I000603,O00250,P0091,2,2199.45,15.88
I000604,O00250,P0068,7,626.26,10.9
I000605,O00250,P0031,2,3886.97,37.12
I000606,O00250,P0141,4,4086.65,23.76
I000607,O00251,P0133,1,9593.82,8.78
